run,members,downloaded,complete,share_complete
2003-01,496,345,252,0.5080645161290323
2003-02,495,344,253,0.5111111111111111
2003-03,495,345,253,0.5111111111111111
2003-04,495,345,252,0.509090909090909
2003-05,495,345,252,0.509090909090909
2003-06,495,346,255,0.5151515151515151
2003-07,495,346,256,0.5171717171717172
2003-08,495,350,261,0.5272727272727272
2003-09,494,349,261,0.52834008097166
2003-10,494,349,261,0.52834008097166
2003-11,494,349,262,0.5303643724696356
2003-12,494,349,262,0.5303643724696356
2004-01,494,350,263,0.5323886639676113
2004-02,494,350,263,0.5323886639676113
2004-03,494,351,264,0.5344129554655871
2004-04,494,352,266,0.5384615384615384
2004-05,494,352,266,0.5384615384615384
2004-06,494,352,266,0.5384615384615384
2004-07,494,352,265,0.5364372469635628
2004-08,494,352,266,0.5384615384615384
2004-09,494,353,266,0.5384615384615384
2004-10,494,354,267,0.5404858299595142
2004-11,494,354,267,0.5404858299595142
2004-12,494,355,268,0.5425101214574899
2005-01,494,355,269,0.5445344129554656
2005-02,494,355,269,0.5445344129554656
2005-03,494,355,270,0.5465587044534413
2005-04,494,356,270,0.5465587044534413
2005-05,495,356,271,0.5474747474747474
2005-06,495,355,271,0.5474747474747474
2005-07,495,355,272,0.5494949494949495
2005-08,495,355,272,0.5494949494949495
2005-09,495,355,273,0.5515151515151515
2005-10,495,355,273,0.5515151515151515
2005-11,495,356,274,0.5535353535353535
2005-12,495,356,274,0.5535353535353535
2006-01,495,354,272,0.5494949494949495
2006-02,495,354,272,0.5494949494949495
2006-03,495,354,273,0.5515151515151515
2006-04,496,355,273,0.5504032258064516
2006-05,496,355,273,0.5504032258064516
2006-06,496,355,273,0.5504032258064516
2006-07,496,355,273,0.5504032258064516
2006-08,496,355,275,0.5544354838709677
2006-09,496,356,279,0.5625
2006-10,496,356,279,0.5625
2006-11,496,356,281,0.5665322580645161
2006-12,497,357,282,0.5674044265593562
2007-01,497,358,284,0.5714285714285714
2007-02,497,361,286,0.5754527162977867
2007-03,497,361,286,0.5754527162977867
2007-04,497,361,287,0.5774647887323944
2007-05,497,361,290,0.5835010060362174
2007-06,497,362,290,0.5835010060362174
2007-07,497,360,291,0.5855130784708249
2007-08,497,360,289,0.5814889336016097
2007-09,497,360,290,0.5835010060362174
2007-10,497,360,290,0.5835010060362174
2007-11,497,361,291,0.5855130784708249
2007-12,497,359,293,0.5895372233400402
2008-01,497,360,294,0.5915492957746479
2008-02,496,360,294,0.592741935483871
2008-03,497,362,295,0.5935613682092555
2008-04,497,363,299,0.6016096579476862
2008-05,497,364,301,0.6056338028169014
2008-06,497,362,301,0.6056338028169014
2008-07,497,362,301,0.6056338028169014
2008-08,497,361,302,0.607645875251509
2008-09,497,362,303,0.6096579476861167
2008-10,497,366,307,0.6177062374245473
2008-11,497,366,310,0.6237424547283702
2008-12,497,368,312,0.6277665995975855
2009-01,497,371,315,0.6338028169014085
2009-02,497,371,315,0.6338028169014085
2009-03,497,371,315,0.6338028169014085
2009-04,497,372,316,0.635814889336016
2009-05,497,372,316,0.635814889336016
2009-06,497,372,317,0.6378269617706237
2009-07,497,370,315,0.6338028169014085
2009-08,498,371,316,0.6345381526104418
2009-09,498,372,318,0.6385542168674698
2009-10,497,371,318,0.6398390342052314
2009-11,498,373,320,0.642570281124498
2009-12,498,371,320,0.642570281124498
2010-01,498,372,321,0.6445783132530121
2010-02,498,372,324,0.6506024096385542
2010-03,498,372,325,0.6526104417670683
2010-04,499,374,328,0.657314629258517
2010-05,499,374,328,0.657314629258517
2010-06,499,374,328,0.657314629258517
2010-07,499,375,331,0.6633266533066132
2010-08,499,375,331,0.6633266533066132
2010-09,499,375,331,0.6633266533066132
2010-10,499,374,330,0.6613226452905812
2010-11,499,375,331,0.6633266533066132
2010-12,499,375,332,0.6653306613226453
2011-01,499,375,334,0.6693386773547094
2011-02,499,375,335,0.6713426853707415
2011-03,499,376,338,0.6773547094188377
2011-04,499,377,339,0.6793587174348698
2011-05,499,377,339,0.6793587174348698
2011-06,499,377,339,0.6793587174348698
2011-07,499,378,340,0.6813627254509018
2011-08,498,378,340,0.6827309236947792
2011-09,497,377,340,0.6841046277665996
2011-10,497,377,340,0.6841046277665996
2011-11,497,377,340,0.6841046277665996
2011-12,497,377,339,0.682092555331992
2012-01,497,378,340,0.6841046277665996
2012-02,497,380,340,0.6841046277665996
2012-03,497,380,340,0.6841046277665996
2012-04,497,380,341,0.6861167002012073
2012-05,497,381,342,0.6881287726358148
2012-06,497,381,342,0.6881287726358148
2012-07,497,381,343,0.6901408450704225
2012-08,497,381,344,0.6921529175050302
2012-09,497,381,344,0.6921529175050302
2012-10,497,381,345,0.6941649899396378
2012-11,497,382,346,0.6961770623742455
2012-12,497,383,346,0.6961770623742455
2013-01,497,386,349,0.7022132796780685
2013-02,497,385,349,0.7022132796780685
2013-03,497,385,349,0.7022132796780685
2013-04,497,385,350,0.704225352112676
2013-05,497,385,351,0.7062374245472837
2013-06,497,384,352,0.7082494969818913
2013-07,497,386,354,0.7122736418511066
2013-08,497,386,355,0.7142857142857143
2013-09,497,386,355,0.7142857142857143
2013-10,496,387,358,0.7217741935483871
2013-11,497,387,357,0.7183098591549296
2013-12,497,387,356,0.716297786720322
2014-01,497,388,358,0.7203219315895373
2014-02,497,389,359,0.7223340040241448
2014-03,497,390,360,0.7243460764587525
2014-04,497,390,360,0.7243460764587525
2014-05,497,390,360,0.7243460764587525
2014-06,497,391,361,0.7263581488933601
2014-07,497,393,363,0.7303822937625755
2014-08,497,392,363,0.7303822937625755
2014-09,497,392,363,0.7303822937625755
2014-10,497,392,364,0.7323943661971831
2014-11,497,392,365,0.7344064386317908
2014-12,497,392,365,0.7344064386317908
2015-01,497,391,365,0.7344064386317908
2015-02,497,391,366,0.7364185110663984
2015-03,497,391,366,0.7364185110663984
2015-04,497,391,366,0.7364185110663984
2015-05,498,392,368,0.7389558232931727
2015-06,498,393,369,0.7409638554216867
2015-07,498,394,370,0.7429718875502008
2015-08,498,395,371,0.7449799196787149
2015-09,499,395,371,0.7434869739478958
2015-10,499,396,371,0.7434869739478958
2015-11,499,396,371,0.7434869739478958
2015-12,499,395,370,0.7414829659318637
2016-01,499,395,370,0.7414829659318637
2016-02,499,396,371,0.7434869739478958
2016-03,499,396,371,0.7434869739478958
2016-04,500,400,375,0.75
2016-05,500,401,376,0.752
2016-06,500,401,376,0.752
2016-07,500,402,378,0.756
2016-08,500,404,382,0.764
2016-09,500,404,382,0.764
2016-10,503,407,385,0.7654075546719682
2016-11,503,408,386,0.7673956262425448
2016-12,503,410,388,0.7713717693836978
2017-01,502,411,389,0.7749003984063745
2017-02,505,415,393,0.7782178217821782
2017-03,505,414,393,0.7782178217821782
2017-04,505,415,395,0.7821782178217822
2017-05,506,415,396,0.782608695652174
2017-06,505,416,400,0.7920792079207921
2017-07,504,418,403,0.7996031746031746
2017-08,505,419,404,0.8
2017-09,505,419,404,0.8
2017-10,506,420,403,0.7964426877470355
2017-11,506,421,404,0.7984189723320159
2017-12,506,421,404,0.7984189723320159
2018-01,506,422,403,0.7964426877470355
2018-02,506,423,404,0.7984189723320159
2018-03,506,423,405,0.8003952569169961
2018-04,506,425,408,0.8063241106719368
2018-05,506,427,409,0.808300395256917
2018-06,506,427,410,0.8102766798418972
2018-07,506,428,409,0.808300395256917
2018-08,506,429,410,0.8102766798418972
2018-09,506,429,411,0.8122529644268774
2018-10,506,429,416,0.8221343873517787
2018-11,506,430,415,0.8201581027667985
2018-12,506,430,414,0.8181818181818182
2019-01,505,430,413,0.8178217821782178
2019-02,506,431,413,0.8162055335968379
2019-03,506,431,412,0.8142292490118577
2019-04,506,433,414,0.8181818181818182
2019-05,506,433,415,0.8201581027667985
2019-06,506,433,415,0.8201581027667985
2019-07,506,431,416,0.8221343873517787
2019-08,506,431,416,0.8221343873517787
2019-09,506,432,417,0.8241106719367589
2019-10,505,432,418,0.8277227722772277
2019-11,504,432,419,0.8313492063492064
2019-12,503,431,421,0.8369781312127237
2020-01,505,433,423,0.8376237623762376
2020-02,505,432,423,0.8376237623762376
2020-03,505,432,423,0.8376237623762376
2020-04,505,432,425,0.8415841584158416
2020-05,505,432,425,0.8415841584158416
2020-06,505,433,426,0.8435643564356435
2020-07,505,435,428,0.8475247524752475
2020-08,505,436,428,0.8475247524752475
2020-09,505,438,431,0.8534653465346534
2020-10,505,439,432,0.8554455445544554
2020-11,505,440,433,0.8574257425742574
2020-12,505,441,434,0.8594059405940594
2021-01,505,443,438,0.8673267326732673
2021-02,505,444,439,0.8693069306930693
2021-03,505,444,440,0.8712871287128713
2021-04,505,445,441,0.8732673267326733
2021-05,505,448,444,0.8792079207920792
2021-06,505,449,445,0.8811881188118812
2021-07,505,451,447,0.8851485148514852
2021-08,505,451,448,0.8871287128712871
2021-09,505,451,448,0.8871287128712871
2021-10,505,451,448,0.8871287128712871
2021-11,505,453,450,0.8910891089108911
2021-12,505,454,451,0.8930693069306931
2022-01,505,454,451,0.8930693069306931
2022-02,505,456,453,0.897029702970297
2022-03,505,456,453,0.897029702970297
2022-04,505,456,453,0.897029702970297
2022-05,505,457,454,0.899009900990099
2022-06,505,458,455,0.900990099009901
2022-07,505,459,456,0.902970297029703
2022-08,505,460,457,0.904950495049505
2022-09,505,461,459,0.9089108910891089
2022-10,505,460,458,0.906930693069307
2022-11,505,461,459,0.9089108910891089
2022-12,505,461,459,0.9089108910891089
2023-01,505,463,460,0.9108910891089109
2023-02,505,464,461,0.9128712871287129
2023-03,505,466,463,0.9168316831683169
2023-04,505,466,464,0.9188118811881189
2023-05,504,468,466,0.9246031746031746
2023-06,504,469,467,0.9265873015873016
2023-07,503,470,469,0.9324055666003976
2023-08,503,470,469,0.9324055666003976
2023-09,503,470,469,0.9324055666003976
2023-10,503,470,469,0.9324055666003976
2023-11,503,474,473,0.9403578528827038
2023-12,503,475,474,0.9423459244532804
2024-01,503,477,476,0.9463220675944334
2024-02,503,477,476,0.9463220675944334
2024-03,503,477,476,0.9463220675944334
2024-04,503,478,478,0.9502982107355865
2024-05,503,478,478,0.9502982107355865
2024-06,503,480,480,0.9542743538767395
2024-07,503,480,480,0.9542743538767395
2024-08,503,481,481,0.9562624254473161
2024-09,503,482,482,0.9582504970178927
2024-10,503,482,482,0.9582504970178927
2024-11,503,484,484,0.9622266401590457
2024-12,503,484,484,0.9622266401590457
2025-01,503,484,484,0.9622266401590457
2025-02,503,484,484,0.9622266401590457
2025-03,503,484,484,0.9622266401590457
2025-04,503,486,486,0.9662027833001988
2025-05,503,486,486,0.9662027833001988
2025-06,503,487,487,0.9681908548707754
2025-07,503,488,488,0.9701789264413518
2025-08,503,489,489,0.9721669980119284
2025-09,503,489,489,0.9721669980119284
2025-10,503,489,489,0.9721669980119284
2025-11,503,489,489,0.9721669980119284
2025-12,503,490,490,0.974155069582505
